Year,Country,Vegetal Products,Animal Products
2010-01-01,Armenia,2434,713
2011-01-01,Armenia,2418,739
2012-01-01,Armenia,2370,778
2013-01-01,Armenia,2390,812
2014-01-01,Armenia,2342,876
2015-01-01,Armenia,2326,888
2016-01-01,Armenia,2274,911
2017-01-01,Armenia,2177,956
2018-01-01,Armenia,2243,934
2019-01-01,Armenia,2272,958
2020-01-01,Armenia,2292,924
2021-01-01,Armenia,2253,976
2022-01-01,Armenia,2308,969
2010-01-01,Azerbaijan,2451,493
2011-01-01,Azerbaijan,2469,501
2012-01-01,Azerbaijan,2476,509
2013-01-01,Azerbaijan,2468,518
2014-01-01,Azerbaijan,2447,538
2015-01-01,Azerbaijan,2450,554
2016-01-01,Azerbaijan,2467,559
2017-01-01,Azerbaijan,2514,572
2018-01-01,Azerbaijan,2553,599
2019-01-01,Azerbaijan,2657,612
2020-01-01,Azerbaijan,2709,636
2021-01-01,Azerbaijan,2692,664
2022-01-01,Azerbaijan,2639,688
2010-01-01,Georgia,2254,556
2011-01-01,Georgia,2270,556
2012-01-01,Georgia,2283,555
2013-01-01,Georgia,2268,580
2014-01-01,Georgia,2263,605
2015-01-01,Georgia,2341,608
2016-01-01,Georgia,2268,594
2017-01-01,Georgia,2254,609
2018-01-01,Georgia,2344,634
2019-01-01,Georgia,2395,662
2020-01-01,Georgia,2401,644
2021-01-01,Georgia,2363,684
2022-01-01,Georgia,2400,706
2010-01-01,Iran,2592,352
2011-01-01,Iran,2497,356
2012-01-01,Iran,2586,364
2013-01-01,Iran,2619,364
2014-01-01,Iran,2629,362
2015-01-01,Iran,2627,315
2016-01-01,Iran,2609,334
2017-01-01,Iran,2538,339
2018-01-01,Iran,2516,329
2019-01-01,Iran,2589,329
2020-01-01,Iran,2599,320
2021-01-01,Iran,2558,325
2022-01-01,Iran,2567,312
2010-01-01,Kazakhstan,2205,917
2011-01-01,Kazakhstan,2247,924
2012-01-01,Kazakhstan,2250,916
2013-01-01,Kazakhstan,2272,924
2014-01-01,Kazakhstan,2236,935
2015-01-01,Kazakhstan,2228,926
2016-01-01,Kazakhstan,2226,940
2017-01-01,Kazakhstan,2315,937
2018-01-01,Kazakhstan,2409,941
2019-01-01,Kazakhstan,2392,979
2020-01-01,Kazakhstan,2381,1002
2021-01-01,Kazakhstan,2396,1016
2022-01-01,Kazakhstan,2445,994
2010-01-01,Russia,2466,831
2011-01-01,Russia,2491,831
2012-01-01,Russia,2485,858
2013-01-01,Russia,2460,860
2014-01-01,Russia,2494,863
2015-01-01,Russia,2471,840
2016-01-01,Russia,2474,851
2017-01-01,Russia,2482,871
2018-01-01,Russia,2471,882
2019-01-01,Russia,2465,883
2020-01-01,Russia,2497,871
2021-01-01,Russia,2511,878
2022-01-01,Russia,2556,898
2010-01-01,Türkiye,3151,500
2011-01-01,Türkiye,3119,534
2012-01-01,Türkiye,3104,586
2013-01-01,Türkiye,3101,599
2014-01-01,Türkiye,3061,602
2015-01-01,Türkiye,3114,602
2016-01-01,Türkiye,3087,593
2017-01-01,Türkiye,3109,635
2018-01-01,Türkiye,3127,661
2019-01-01,Türkiye,3146,656
2020-01-01,Türkiye,3099,731
2021-01-01,Türkiye,3102,728
2022-01-01,Türkiye,3147,714
2010-01-01,Ukraine,2421,728
2011-01-01,Ukraine,2455,740
2012-01-01,Ukraine,2398,779
2013-01-01,Ukraine,2378,790
2014-01-01,Ukraine,2440,702
2015-01-01,Ukraine,2440,637
2016-01-01,Ukraine,2434,631
2017-01-01,Ukraine,2403,632
2018-01-01,Ukraine,2285,704
2019-01-01,Ukraine,2243,700
2020-01-01,Ukraine,2231,695
2021-01-01,Ukraine,2285,652
2022-01-01,Ukraine,2218,634
